timestamp,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
2020-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.00826293602586,303.6572535522282,339.1836991533637,665.0723576545715,761.6682628169656,825.7479440420866,837.6748813316226,808.0324048176408,469.50027886778116,265.9000374376774,0.0,0.0,0.0,0.0,0.0
2020-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4012019208166748,86.54700757469982,288.41515239328146,507.99667928367853,568.8623808324337,866.5936533361673,848.0462126433849,772.5761191919446,734.6562521532178,440.4419948346913,208.90982621349394,86.1723174341023,0.0,0.0,0.0,0.0,0.0
2020-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,32.08429249934852,60.79977508634329,227.2504549473524,499.8517880216241,639.3119802698493,769.1072884947062,940.458114258945,835.6513267382979,652.1024249494076,543.5279401019216,166.78763194940984,42.42033780319616,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,127.8244948014617,172.19255156815052,402.665582485497,668.1631453335285,743.5238137841225,845.2919084578753,844.872629083693,697.6439081132412,480.68179469555616,335.65980046987534,105.9343158500269,14.736965898191556,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,300.11758422479033,408.82421284914017,625.6657842546701,782.0575078949332,825.8615056052804,830.3154844790697,667.8372617810965,472.1212435513735,242.33358930796385,109.14524965919554,45.884304807987064,0.0,19.718245381955057,0.0,0.0,0.0,0.0,0.0
2020-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,437.6637761481106,618.3428408578038,758.4675977006555,786.6982784122229,845.5024207010865,762.142351642251,516.3248396478593,283.8593753054738,107.22523839212954,0.0,11.86344267334789,0.0,17.660968110430986,0.0,0.0,0.0,0.0,0.0
2020-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,556.552423723042,807.6013620942831,782.442919164896,690.1974495500326,724.621145799756,577.1941930055618,334.5124861225486,120.1356272213161,17.172562901396304,0.0,0.0,0.0,20.360854687169194,0.0,0.0,0.0,0.0,0.0
2020-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,720.8259144797921,964.1308849677444,758.6459869518876,563.0147036164999,467.2368036583066,301.2041428126395,104.09466053824872,0.0,0.0,0.0,0.0,0.0,12.383106397464871,0.0,0.0,0.0,0.0,0.0
2020-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,852.7026245370507,975.7219204679132,610.8539178967476,372.796402964741,202.589611383155,53.646273200865835,0.0,0.0,0.0,20.14563629636541,16.84093098156154,4.715370025951415,8.408338576555252,0.0,0.0,0.0,0.0,0.0
2020-01-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,898.6778004094958,845.2172564342618,401.638971734792,206.08083768747747,59.337722475174814,0.0,0.0,0.0,0.0,24.037222453625873,11.442208127118647,9.51772500993684,10.177482466679066,0.0,0.0,0.0,0.0,0.0
