date,daily_generation_kWh,daily_capacity_kW,generation_per_kW,scaled_generation_kWh,Tariff_GBP,Cost_per_kW_GBP,revenue_GBP,cumulative_revenue_GBP,ROI_percent
2017-07-30,47933.0,8263.0,5.800919762798015,5800.919762798016,0.050300000000000004,1480.0,291.7862640687402,185968.17379754063,10.331565210974478
2017-07-31,49219.0,8263.0,5.956553309935859,5956.553309935859,0.050300000000000004,1480.0,299.6146314897737,186267.7884290304,10.348210468279467
2017-08-01,47676.0,8263.0,5.769817257654605,5769.817257654605,0.050300000000000004,1480.0,290.22180806002666,186558.0102370904,10.364333902060578
2017-08-02,17754.0,8263.208333333334,2.148560133523601,2148.560133523601,0.050300000000000004,1480.0,108.07257471623714,186666.08281180664,10.370337933989259
2017-08-03,36686.0,8268.0,4.437106918238993,4437.106918238993,0.050300000000000004,1480.0,223.18647798742137,186889.26928979406,10.382737182766338
2017-08-04,44644.0,8268.0,5.399612965650702,5399.612965650702,0.050300000000000004,1480.0,271.6005321722303,187160.86982196628,10.39782610122035
2017-08-05,48063.0,8268.0,5.813134978229318,5813.134978229318,0.050300000000000004,1480.0,292.4006894049347,187453.2705113712,10.414070583965067
2017-08-06,45110.0,8268.0,5.455974842767295,5455.974842767296,0.050300000000000004,1480.0,274.435534591195,187727.7060459624,10.429317002553468
2017-08-07,33908.0,8268.0,4.101112723754233,4101.112723754233,0.050300000000000004,1480.0,206.28597000483796,187933.99201596723,10.440777334220403
2017-08-08,26464.0,8268.0,3.200774068698597,3200.774068698597,0.050300000000000004,1480.0,160.99893565553944,188094.99095162278,10.4497217195346
2017-08-09,25623.0,8268.0,3.099056603773585,3099.056603773585,0.050300000000000004,1480.0,155.88254716981132,188250.8734987926,10.458381861044032
2017-08-10,53940.0,8268.0,6.5239477503628445,6523.947750362844,0.050300000000000004,1480.0,328.15457184325106,188579.02807063583,10.476612670590878
2017-08-11,34862.0,8268.0,4.216497339138849,4216.497339138849,0.050300000000000004,1480.0,212.08981615868413,188791.11788679453,10.488395438155251
2017-08-12,37454.0,8268.0,4.529995162070634,4529.995162070634,0.050300000000000004,1480.0,227.85875665215292,189018.9766434467,10.50105425796926
2017-08-13,49085.0,8268.0,5.936744073536526,5936.744073536526,0.050300000000000004,1480.0,298.6182268988873,189317.59487034558,10.517644159463643
2017-08-14,35658.0,8268.0,4.312772133526851,4312.772133526851,0.050300000000000004,1480.0,216.9324383164006,189534.52730866199,10.529695961592331
2017-08-15,54371.0,8268.0,6.5760764392839866,6576.0764392839865,0.050300000000000004,1480.0,330.77664489598453,189865.30395355797,10.548072441864331
2017-08-16,44175.0,8268.0,5.34288824383164,5342.88824383164,0.050300000000000004,1480.0,268.7472786647315,190134.0512322227,10.563002846234594
2017-08-17,47385.0,8268.0,5.731132075471698,5731.132075471698,0.050300000000000004,1480.0,288.2759433962264,190422.32717561894,10.579018176423274
2017-08-18,46014.0,8268.0,5.565312046444122,5565.312046444122,0.050300000000000004,1480.0,279.93519593613934,190702.2623715551,10.594570131753061
2017-08-19,44296.0,8268.0,5.3575229801644895,5357.522980164489,0.050300000000000004,1480.0,269.48340590227383,190971.74577745737,10.609541432080965
2017-08-20,35866.0,8268.0,4.337929366231253,4337.929366231253,0.050300000000000004,1480.0,218.19784712143203,191189.9436245788,10.621663534698822
